"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","TYPE_1","ENGTYPE_1","NL_NAME_1","VARNAME_1"
1,194,"LCA","Saint Lucia",1,"Anse-la-Raye","Quarter","Quarter",NA,NA
2,194,"LCA","Saint Lucia",2,"Canaries","Quarter","Quarter",NA,NA
3,194,"LCA","Saint Lucia",3,"Castries","Quarter","Quarter",NA,NA
4,194,"LCA","Saint Lucia",4,"Choiseul","Quarter","Quarter",NA,NA
5,194,"LCA","Saint Lucia",5,"Dennery","Quarter","Quarter",NA,NA
6,194,"LCA","Saint Lucia",6,"Gros Islet","Quarter","Quarter",NA,NA
7,194,"LCA","Saint Lucia",7,"Laborie","Quarter","Quarter",NA,NA
8,194,"LCA","Saint Lucia",8,"Micoud","Quarter","Quarter",NA,NA
9,194,"LCA","Saint Lucia",9,"Soufrière","Quarter","Quarter",NA,NA
10,194,"LCA","Saint Lucia",10,"Vieux Fort","Quarter","Quarter",NA,NA
